"videoId","categoryId","category","duration","viewCount","commentCount"
"apmF_FXcZKc","26","Howto & Style","PT12M44S","6630718","20351"
"zChSzyGxPqs","22","People & Blogs","PT6M41S","3853516","3876"
"EPHMXbZml_s","23","Comedy","PT7M58S","18288143","22226"
"3N1MlMhZxdQ","23","Comedy","PT2M40S","7681162","6596"
"Dp6lbdoprZ0","10","Music","PT6M47S","63226889","17943"
"IlVXoIUO0Cc","22","People & Blogs","PT9M30S","3560875","4698"
"Zz81umKBoYw","22","People & Blogs","PT10M3S","2712434","20394"
"QuncAUHpl-8","17","Sports","PT7M47S","21468748","23280"
"M9gFRXw5-kI","17","Sports","PT6M55S","22091290","13095"
"j-a4YEybdpY","20","Gaming","PT4M17S","3103493","20051"
"UtsfUAHkyWQ","17","Sports","PT5M56S","69211860","34364"
"MVuOwzFGaj8","17","Sports","PT5M58S","16788097","7550"
"kfIc944bSJ8","19","Travel & Events","PT5M24S","8281808","4998"
"JHUrRSBtUNE","10","Music","PT2M19S","11647440","2808"
"BAjqPZY8sFg","23","Comedy","PT5M15S","3461953","893"
"A1MOFQylqqk","20","Gaming","PT4M2S","7132198","3238"
"eCtb_ylVDvU","17","Sports","PT6M8S","33828148","41168"
"kMcCzlGjSTQ","22","People & Blogs","PT12M49S","3150981","16021"
"mTXunsNFJmA","23","Comedy","PT10M17S","11114765","31067"
"snzDwACffzs","24","Entertainment","PT1M36S","5041049","1770"
"y1FF64dIWa0","10","Music","PT2M10S","6138500","1575"
"UpMLVDma-4Q","17","Sports","PT6M41S","19876481","21845"
"HbRywnTYArc","23","Comedy","PT6M46S","7246725","8256"
"ntLy9kQRBfM","23","Comedy","PT4M13S","7690822","9189"
"Q0oWtXvmc8k","20","Gaming","PT6M26S","7359234","9551"
"r7_fe-bPWnM","22","People & Blogs","PT5M49S","4109185","8406"
"BXO7_YRGlqg","20","Gaming","PT2M25S","8393409","7134"
"LTXTeAt2mpg","28","Science & Technology","PT3M38S","3362738","14564"
"VK2405H3Hjk","22","People & Blogs","PT5M8S","4788540","5120"
"g3H7-t6aOAA","22","People & Blogs","PT6M41S","2941343","2796"
"Y_NmwtttzA8","17","Sports","PT5M16S","19871296","15868"
"alKO4IRglyQ","23","Comedy","PT5M53S","23107611","11361"
"fEdtfut1ZWA","23","Comedy","PT7M41S","6838360","22030"
"RvnkAtWcKYg","10","Music","PT4M14S","170871279","73129"
"ceU513eugag","23","Comedy","PT3M42S","9203281","6800"
"9ze87zQFSak","23","Comedy","PT2M14S","7630605","8318"
"CACAmH4r1fw","17","Sports","PT6M1S","50105683","30888"
"aRwrdbcAh2s","1","Film & Animation","PT2M26S","5299000","2874"
"bGqvimnOTeg","24","Entertainment","PT8M15S","15027859",
"9UPTzwr8SvU","22","People & Blogs","PT5M41S","3657090","4839"
"PT2_F-1esPk","10","Music","PT4M22S","353475005","86522"
"3nRZhGP5apQ","17","Sports","PT6M8S","37977077","53596"
"0zWuoj4TvC0","27","Education","PT4M25S","3715312","4336"
