"videoId","categoryId","category","duration","viewCount","commentCount","channelId"
"6F7quI-MbzY","24","Entertainment","PT8M39S","3748599","21318","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"GUCcObwIsOs","26","Howto & Style","PT9M53S","4420071","24913","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"VztSdwYPFCE","27","Education","PT7M40S","4081425","11826","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"DAcjV60RnRw","28","Science & Technology","PT11M48S","11424156","26067","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"4e_kz79tjb8","28","Science & Technology","PT6M27S","3847062","7847","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"Y2gTSjoEExc","28","Science & Technology","PT11M45S","3396147","5836","UC6nSFpj9HTCZ5t-N3Rm3-HA"
"LW1rzS_hmns","10","Music","PT6M1S","321105","249","UCYU-Sl3T18bfITPTssZra9g"
"IidhUqrVm20","10","Music","PT4M2S","133976","46","UCYU-Sl3T18bfITPTssZra9g"
"Yf66tJUQgsc","10","Music","PT5M10S","79291","28","UCYU-Sl3T18bfITPTssZra9g"
"2zOXWGViZts","10","Music","PT49S","19596","3","UCYU-Sl3T18bfITPTssZra9g"
"UiNruCmk44w","10","Music","PT3M23S","39978","15","UCYU-Sl3T18bfITPTssZra9g"
"_fCoK2OVJAc","10","Music","PT4M53S","5870749","4664","UCYU-Sl3T18bfITPTssZra9g"
"pYxOksbfAeE","10","Music","PT5M40S","48424","5","UCYU-Sl3T18bfITPTssZra9g"
"6eNpa5mi0TU","10","Music","PT4M18S","72724","52","UCYU-Sl3T18bfITPTssZra9g"
"rL7aWjciYCQ","10","Music","PT4M57S","190464","64","UCYU-Sl3T18bfITPTssZra9g"
"FZc1nnGYZec","10","Music","PT5M10S","116116","46","UCYU-Sl3T18bfITPTssZra9g"
"ZwJy8AwHsHY","10","Music","PT5M7S","83185","28","UCYU-Sl3T18bfITPTssZra9g"
"-X0dN9qmY78","10","Music","PT4M34S","78725","15","UCYU-Sl3T18bfITPTssZra9g"
"n6on3lSEb7U","10","Music","PT4M39S","102999","35","UCYU-Sl3T18bfITPTssZra9g"
"BxrSmLiZIPI","10","Music","PT4M56S","77175","9","UCYU-Sl3T18bfITPTssZra9g"
"h2wdGpT8V34","10","Music","PT5M8S","64295","19","UCYU-Sl3T18bfITPTssZra9g"
"jVLb93vg6k0","10","Music","PT5M16S","89685","14","UCYU-Sl3T18bfITPTssZra9g"
"9Zz3qAPn1IA","10","Music","PT5M39S","80725","25","UCYU-Sl3T18bfITPTssZra9g"
"xTmyXOH6s7A","10","Music","PT5M9S","73010","24","UCYU-Sl3T18bfITPTssZra9g"
"n3HPe9X1EKw","10","Music","PT3M59S","69030","29","UCYU-Sl3T18bfITPTssZra9g"
"hjTezAt25vM","10","Music","PT4M38S","80339","23","UCYU-Sl3T18bfITPTssZra9g"
"OtigspnaJbc","10","Music","PT1M49S","238431","9","UCYU-Sl3T18bfITPTssZra9g"
"pobSFlPgazM","10","Music","PT2M53S","122347","22","UCYU-Sl3T18bfITPTssZra9g"
"yGnmi3_KWCQ","10","Music","PT4M8S","146255","20","UCYU-Sl3T18bfITPTssZra9g"
"XCFoBCjxsxk","10","Music","PT4M16S","172894","32","UCYU-Sl3T18bfITPTssZra9g"
"raX6rnFT90w","10","Music","PT4M17S","137877","25","UCYU-Sl3T18bfITPTssZra9g"
"3l3kHJnNvmc","10","Music","PT4M29S","80588","14","UCYU-Sl3T18bfITPTssZra9g"
"3ZWKtHY3HQM","10","Music","PT4M20S","81865","9","UCYU-Sl3T18bfITPTssZra9g"
"OvbBK_dlAPE","10","Music","PT3M40S","92013","26","UCYU-Sl3T18bfITPTssZra9g"
"BWUD8ZvuoY8","10","Music","PT3M32S","85363","11","UCYU-Sl3T18bfITPTssZra9g"
"6Z03P5O_UyQ","10","Music","PT3M38S","51637","13","UCYU-Sl3T18bfITPTssZra9g"
"H1dwZZaNRbg","10","Music","PT4M33S","85457","15","UCYU-Sl3T18bfITPTssZra9g"
"WVqID2M3RZI","10","Music","PT3M34S","48843","2","UCYU-Sl3T18bfITPTssZra9g"
"VWxkyEk85AE","10","Music","PT4M10S","139357","21","UCYU-Sl3T18bfITPTssZra9g"
"TzIDVHiGF8c","10","Music","PT4M6S","53463","12","UCYU-Sl3T18bfITPTssZra9g"
"NipUFPYQ9VI","10","Music","PT4M47S","57289","6","UCYU-Sl3T18bfITPTssZra9g"
"yolwXtGhV4Q","10","Music","PT4M11S","46980","4","UCYU-Sl3T18bfITPTssZra9g"
"1kEr_db77PQ","10","Music","PT3M56S","37884","5","UCYU-Sl3T18bfITPTssZra9g"
"u8J_X3ydSB8","10","Music","PT3M11S","39309","8","UCYU-Sl3T18bfITPTssZra9g"
"ARcvcIkjgy0","10","Music","PT4M42S","95083","18","UCYU-Sl3T18bfITPTssZra9g"
"la5Sp0-ZHFY","10","Music","PT4M39S","1144005","250","UCYU-Sl3T18bfITPTssZra9g"
"Jn9tMkqhWd0","10","Music","PT4M37S","481311","75","UCYU-Sl3T18bfITPTssZra9g"
"qaxfDjSK5fA","10","Music","PT4M9S","378950","26","UCYU-Sl3T18bfITPTssZra9g"
"64cuGkOVYfg","10","Music","PT5M13S","335029","38","UCYU-Sl3T18bfITPTssZra9g"
"8UW5InWPybo","10","Music","PT4M48S","479986","80","UCYU-Sl3T18bfITPTssZra9g"
"hRWFLZhYnMo","10","Music","PT4M7S","437831","51","UCYU-Sl3T18bfITPTssZra9g"
"IYSZAfR3xhk","10","Music","PT6M15S","410129","65","UCYU-Sl3T18bfITPTssZra9g"
"gQLtItwCePI","10","Music","PT4M44S","286415","43","UCYU-Sl3T18bfITPTssZra9g"
"js2XTia5H5k","10","Music","PT5M2S","297594","55","UCYU-Sl3T18bfITPTssZra9g"
"t4mUvop0NoM","10","Music","PT4M57S","305699","31","UCYU-Sl3T18bfITPTssZra9g"
"Akb-8NnXiH0","24","Entertainment","PT4M35S","8185","6","UCYU-Sl3T18bfITPTssZra9g"
"szoEaz4qAAk","10","Music","PT5M30S","251540","32","UCYU-Sl3T18bfITPTssZra9g"
"WlaJ8tEQt6Q","10","Music","PT6M26S","184980","21","UCYU-Sl3T18bfITPTssZra9g"
"I3VlRCm89B0","10","Music","PT4M54S","283579","31","UCYU-Sl3T18bfITPTssZra9g"
"Zk7_VlPQ4W0","10","Music","PT5M10S","146369","15","UCYU-Sl3T18bfITPTssZra9g"
"h_RXhwxrkOc","10","Music","PT5M31S","319274","86","UCYU-Sl3T18bfITPTssZra9g"
"Ddww8IfRsvg","10","Music","PT3M52S","294650","36","UCYU-Sl3T18bfITPTssZra9g"
"FROmktuHbAU","10","Music","PT4M56S","189916","38","UCYU-Sl3T18bfITPTssZra9g"
"DpNeCUJytFI","10","Music","PT4M19S","226361","44","UCYU-Sl3T18bfITPTssZra9g"
"hAhWIlz_utE","10","Music","PT5M10S","178826","13","UCYU-Sl3T18bfITPTssZra9g"
"1TmD7pLEFpM","10","Music","PT5M8S","216543","24","UCYU-Sl3T18bfITPTssZra9g"
"Y2hnxRtI1_w","10","Music","PT5M15S","351297","50","UCYU-Sl3T18bfITPTssZra9g"
"eeXeOy17Et8","10","Music","PT4M40S","145046","25","UCYU-Sl3T18bfITPTssZra9g"
"Uyq2-e0B3Tc","10","Music","PT4M15S","275632","34","UCYU-Sl3T18bfITPTssZra9g"
"zSzaplTFagQ","10","Music","PT5M8S","455040","80","UCYU-Sl3T18bfITPTssZra9g"
"eJ0LatuduyM","10","Music","PT5M17S","213160","67","UCYU-Sl3T18bfITPTssZra9g"
"ZI_K7OkXX3s","10","Music","PT4M","109380","26","UCYU-Sl3T18bfITPTssZra9g"
"AEvZX-u4cGg","10","Music","PT4M27S","6663214","2831","UCYU-Sl3T18bfITPTssZra9g"
"YXHQ4TIcW1s","10","Music","PT4M4S","6147","3","UCYU-Sl3T18bfITPTssZra9g"
"9XVHAn6KvTk","10","Music","PT6M32S","799213","601","UCYU-Sl3T18bfITPTssZra9g"
"mQRdHXJMgzk","10","Music","PT4M23S","393049","219","UCYU-Sl3T18bfITPTssZra9g"
"bYH79ALaYgc","10","Music","PT6M5S","68527","46","UCYU-Sl3T18bfITPTssZra9g"
"xI4xUizSZgY","10","Music","PT4M33S","1149573","576","UCYU-Sl3T18bfITPTssZra9g"
"tfaxsPLF2VA","10","Music","PT3M10S","417697","215","UCYU-Sl3T18bfITPTssZra9g"
"_km4tI2BYVg","10","Music","PT6M10S","537227","162","UCYU-Sl3T18bfITPTssZra9g"
"_xbibmLYkZk","10","Music","PT5M","291448","58","UCYU-Sl3T18bfITPTssZra9g"
"jcucjK4TcVk","10","Music","PT3M30S","597065","275","UCYU-Sl3T18bfITPTssZra9g"
"5qwEhL4ew0g","10","Music","PT4M24S","662006","348","UCYU-Sl3T18bfITPTssZra9g"
"asij2DsWJVI","10","Music","PT4M19S","81889","28","UCYU-Sl3T18bfITPTssZra9g"
"py75sRjja04","10","Music","PT1M41S","632628","41","UCYU-Sl3T18bfITPTssZra9g"
"J3zaafiNVWE","10","Music","PT4M2S","480302","85","UCYU-Sl3T18bfITPTssZra9g"
"wzHIPR5sMoc","10","Music","PT4M40S","663332","204","UCYU-Sl3T18bfITPTssZra9g"
"5kCfHyAMVcw","10","Music","PT4M","831709","266","UCYU-Sl3T18bfITPTssZra9g"
"tfqSKEqukGw","10","Music","PT5M1S","574398","113","UCYU-Sl3T18bfITPTssZra9g"
"JJB5OSsVXUk","10","Music","PT4M54S","271305","55","UCYU-Sl3T18bfITPTssZra9g"
"iydjT5dTDIs","10","Music","PT4M22S","271718","63","UCYU-Sl3T18bfITPTssZra9g"
"G4TD1TZvGIA","10","Music","PT4M31S","348422","70","UCYU-Sl3T18bfITPTssZra9g"
